Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.171671671049751E-03
    0.173979310070073E-03
    0.176317923648841E-03
    0.178687927545740E-03
    0.181089743101038E-03
    0.183523797310493E-03
    0.185990522901264E-03
    0.188490358408840E-03
    0.191023748255009E-03
    0.193591142826859E-03
    0.196192998556854E-03
    0.198829778003976E-03
    0.201501949935961E-03
    0.204209989412633E-03
    0.206954377870367E-03
    0.209735603207671E-03
    0.212554159871931E-03
    0.215410548947309E-03
    0.218305278243832E-03
    0.221238862387665E-03
    0.224211822912604E-03
    0.227224688352795E-03
    0.230277994336697E-03
    0.233372283682302E-03
    0.236508106493645E-03
    0.239686020258596E-03
    0.242906589947971E-03
    0.246170388115975E-03
    0.249477995001990E-03
    0.252829998633729E-03
    0.256226994931777E-03
    0.259669587815534E-03
    0.263158389310580E-03
    0.266694019657480E-03
    0.270277107422052E-03
    0.273908289607114E-03
    0.277588211765729E-03
    0.281317528115973E-03
    0.285096901657241E-03
    0.288927004288118E-03
    0.292808516925823E-03
    0.296742129627273E-03
